input,target
Old fella got drink water plenty.,The elderly man has excessive thirst.
He got hungry all time.,She has increased appetite.
Old fella got head hurtin’.,The child has headache.
My chest tight.,That person has chest tightness.
I bin heart go fast.,That person has rapid heartbeat.
My skin rash.,He has skin rash.
I bin skin rash.,My skin rash.
My belly pain.,My abdominal pain.
Me got back sore.,The elderly man has back pain.
Them kids got cryin’ lot.,My crying a lot.
Me got belly pain.,She has abdominal pain.
Old fella got blood nose.,I have nosebleed.
She got head hurtin’.,My headache.
She got hot all night.,He has fever.
Me got leg swell up.,I have swollen leg.
I bin talkin’ funny.,She has slurred speech.
Old fella got body weak.,My body weakness.
My skin rash.,My skin rash.
This one got eyes blurry.,My blurred vision.
Old fella got throwin’ up.,The children have vomiting.
That one got belly pain.,I have abdominal pain.
Me got chest tight.,The child has chest tightness.
Lil one got vomit come up.,I have vomiting.
My vomit come up.,This person has vomiting.
He got cough bad.,That person has severe cough.
This one got belly pain.,I have been experiencing abdominal pain.
She got drink water plenty.,I have been experiencing excessive thirst.
He got cough bad.,The elderly man has severe cough.
Me got belly pain.,He has abdominal pain.
She got talkin’ funny.,I have been experiencing slurred speech.
He got can’t see straight.,My blurred vision.
My can’t see straight.,He has blurred vision.
That one got cough bad.,That person has severe cough.
That one got blood nose.,The children have nosebleed.
This one got skin rash.,That person has skin rash.
Them kids got throwin’ up.,This person has vomiting.
This one got belly pain.,The child has abdominal pain.
Them kids got vomit come up.,My vomiting.
He got cough bad.,The children have severe cough.
She got ear sore.,My earache.
He got ear sore.,The children have earache.
She got hungry all time.,I have been experiencing increased appetite.
He got blood nose.,My nosebleed.
That one got cryin’ lot.,My crying a lot.
Lil one got cryin’ lot.,I have been experiencing crying a lot.
He got hot all night.,He has fever.
This one got cryin’ lot.,I have been experiencing crying a lot.
Old fella got sore throat.,That person has sore throat.
I bin blood nose.,The child has nosebleed.
Old fella got skin rash.,This person has skin rash.
Me got head hurtin’.,I have been experiencing headache.
Lil one got drink water plenty.,She has excessive thirst.
I bin talkin’ funny.,The children have slurred speech.
My drink water plenty.,He has excessive thirst.
Old fella got hot all night.,My fever.
My cryin’ lot.,I have crying a lot.
She got can’t see straight.,I have blurred vision.
He got skin itchy.,That person has itchy skin.
Me got can’t walk good.,That person has difficulty walking.
He got vomit come up.,That person has vomiting.
She got shiverin’.,This person has shivering.
He got chest tight.,He has chest tightness.
Old fella got can’t breathe good.,I have shortness of breath.
Lil one got blood nose.,This person has nosebleed.
I bin belly pain.,That person has abdominal pain.
I bin vomit come up.,The child has vomiting.
My belly pain.,I have abdominal pain.
That one got cryin’ lot.,The child has crying a lot.
Me got shiverin’.,She has shivering.
She got skin itchy.,That person has itchy skin.
Lil one got skin rash.,He has skin rash.
Old fella got eyes blurry.,She has blurred vision.
Them kids got vomit come up.,She has vomiting.
Lil one got shiverin’.,He has shivering.
Them kids got leg swell up.,My swollen leg.
Me got ear sore.,This person has earache.
He got throwin’ up.,She has vomiting.
She got blood nose.,The elderly man has nosebleed.
Old fella got skin rash.,My skin rash.
My head hurtin’.,That person has headache.
He got shiverin’.,My shivering.
Them kids got cryin’ lot.,He has crying a lot.
That one got back sore.,I have back pain.
Lil one got hot all night.,She has fever.
My back sore.,The elderly man has back pain.
I bin body weak.,She has body weakness.
This one got hot all night.,My fever.
Me got throwin’ up.,That person has vomiting.
Me got cough bad.,She has severe cough.
Old fella got sore throat.,My sore throat.
That one got can’t walk good.,This person has difficulty walking.
Them kids got ear sore.,My earache.
He got can’t see straight.,This person has blurred vision.
Them kids got blood nose.,He has nosebleed.
He got throwin’ up.,The child has vomiting.
Old fella got sore throat.,My sore throat.
This one got belly pain.,The children have abdominal pain.
Lil one got leg swell up.,I have swollen leg.
She got vomit come up.,The child has vomiting.
My hungry all time.,The child has increased appetite.
My leg swell up.,She has swollen leg.
This one got skin rash.,That person has skin rash.
Me got can’t breathe good.,The elderly man has shortness of breath.
This one got heart go fast.,The child has rapid heartbeat.
This one got ear sore.,He has earache.
This one got belly pain.,The children have abdominal pain.
She got ear sore.,My earache.
Them kids got vomit come up.,This person has vomiting.
This one got can’t breathe good.,That person has shortness of breath.
My can’t breathe good.,I have been experiencing shortness of breath.
Old fella got blood nose.,The child has nosebleed.
He got cough bad.,This person has severe cough.
That one got throwin’ up.,That person has vomiting.
That one got shiverin’.,My shivering.
She got body weak.,That person has body weakness.
Old fella got drink water plenty.,She has excessive thirst.
Lil one got body weak.,This person has body weakness.
He got can’t walk good.,That person has difficulty walking.
That one got can’t breathe good.,The child has shortness of breath.
He got body weak.,He has body weakness.
Lil one got head hurtin’.,The child has headache.
Them kids got chest tight.,This person has chest tightness.
He got cough bad.,That person has severe cough.
He got drink water plenty.,The child has excessive thirst.
Old fella got hungry all time.,I have increased appetite.
My can’t see straight.,I have blurred vision.
She got hot all night.,The child has fever.
This one got skin rash.,The child has skin rash.
This one got blood nose.,I have nosebleed.
That one got talkin’ funny.,The children have slurred speech.
This one got back sore.,I have been experiencing back pain.
Lil one got can’t walk good.,I have been experiencing difficulty walking.
Me got talkin’ funny.,She has slurred speech.
Old fella got cough bad.,He has severe cough.
He got cryin’ lot.,The elderly man has crying a lot.
She got ear sore.,I have been experiencing earache.
Me got cough bad.,The children have severe cough.
Them kids got can’t breathe good.,I have shortness of breath.
I bin belly pain.,My abdominal pain.
That one got can’t see straight.,My blurred vision.
Them kids got blood nose.,That person has nosebleed.
She got heart go fast.,The child has rapid heartbeat.
Lil one got ear sore.,I have earache.
I bin skin itchy.,I have been experiencing itchy skin.
He got heart go fast.,My rapid heartbeat.
Them kids got head hurtin’.,I have been experiencing headache.
This one got leg swell up.,The elderly man has swollen leg.
Old fella got cough bad.,This person has severe cough.
Me got vomit come up.,My vomiting.
She got talkin’ funny.,He has slurred speech.
Lil one got vomit come up.,This person has vomiting.
Old fella got back sore.,He has back pain.
Lil one got vomit come up.,That person has vomiting.
Me got sore throat.,The elderly man has sore throat.
Them kids got eyes blurry.,The elderly man has blurred vision.
She got shiverin’.,The elderly man has shivering.
This one got chest tight.,I have chest tightness.
I bin skin itchy.,My itchy skin.
Me got drink water plenty.,My excessive thirst.
Lil one got belly pain.,She has abdominal pain.
Old fella got belly pain.,He has abdominal pain.
I bin leg swell up.,My swollen leg.
My shiverin’.,My shivering.
Lil one got heart go fast.,This person has rapid heartbeat.
He got hot all night.,He has fever.
I bin skin rash.,I have been experiencing skin rash.
Me got back sore.,He has back pain.
He got vomit come up.,He has vomiting.
My cryin’ lot.,I have been experiencing crying a lot.
My talkin’ funny.,The children have slurred speech.
My chest tight.,The children have chest tightness.
He got heart go fast.,I have rapid heartbeat.
That one got chest tight.,The elderly man has chest tightness.
He got hot all night.,My fever.
Old fella got throwin’ up.,She has vomiting.
She got can’t walk good.,She has difficulty walking.
Old fella got talkin’ funny.,He has slurred speech.
Lil one got talkin’ funny.,He has slurred speech.
Them kids got cough bad.,The child has severe cough.
Me got belly pain.,That person has abdominal pain.
My belly pain.,He has abdominal pain.
He got sore throat.,That person has sore throat.
That one got throwin’ up.,I have vomiting.
I bin back sore.,He has back pain.
Old fella got eyes blurry.,The elderly man has blurred vision.
Lil one got throwin’ up.,That person has vomiting.
She got sore throat.,I have sore throat.
Them kids got shiverin’.,He has shivering.
He got skin rash.,She has skin rash.
Old fella got blood nose.,The child has nosebleed.
That one got skin rash.,I have skin rash.
That one got eyes blurry.,I have blurred vision.
This one got cryin’ lot.,My crying a lot.
He got ear sore.,The child has earache.
Me got cryin’ lot.,The elderly man has crying a lot.
She got shiverin’.,This person has shivering.
He got talkin’ funny.,My slurred speech.
Lil one got hungry all time.,My increased appetite.
Me got cryin’ lot.,The child has crying a lot.
He got ear sore.,I have been experiencing earache.
Me got leg swell up.,I have been experiencing swollen leg.
I bin drink water plenty.,The children have excessive thirst.
He got heart go fast.,The elderly man has rapid heartbeat.
That one got ear sore.,The child has earache.
She got vomit come up.,He has vomiting.
She got body weak.,The child has body weakness.
Old fella got can’t walk good.,The child has difficulty walking.
That one got hot all night.,I have been experiencing fever.
Lil one got can’t breathe good.,My shortness of breath.
Lil one got blood nose.,This person has nosebleed.
Old fella got can’t see straight.,The elderly man has blurred vision.
Lil one got back sore.,The children have back pain.
Them kids got skin itchy.,She has itchy skin.
She got drink water plenty.,My excessive thirst.
Me got can’t walk good.,My difficulty walking.
